fid,REFUOID,JAHR,MONAT,WOCHENTAG,U_GEMNR2,U_GEMNAME,U_GEBIET,U_GEBIET_T,U_LICHT,U_LICHT_T,U_UNF_TYP,U_UNF_TYP_T,UHRZEIT,BETEILIGUNG
"21",6094531638,"2013","1",Sat,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"823",beim Linksabbiegen - Fg.: gleiche Ann�herungsrichtung,15 bis 18 Uhr,"Fussgaenger:in, Pkw"
"5019",6094568803,"2013","11",Mon,"91501",Wien,"1",Ortsgebiet,"3",D�mmerung,"812","Fahrzeug biegt nicht ab - nach Querstra�e, Fu�g�nger von rechts",15 bis 18 Uhr,"Fussgaenger:in, Pkw"
"1499",6094554862,"2013","4",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"161",Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug,18 bis 24 Uhr,"Pkw, Pkw"
"35226",6094762615,"2019","4",Sat,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,15 bis 18 Uhr,"Fahrrad, Pkw"
"36394",6094772764,"2019","6",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"131",Auffahren auf fahrendes Fahrzeug - auf der Geraden,18 bis 24 Uhr,"Fahrrad, Pkw"
"42003",6094813683,"2020","9",Mon,"91501",Wien,"1",Ortsgebiet,"3",D�mmerung,"112",Kollision beim �berholen - �berholen links,6 bis 9 Uhr,"Fahrrad, Sonstige"
"44857",6094833241,"2021","5",Fri,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,18 bis 24 Uhr,"Fahrrad, Lkw"
"44881",6094835488,"2021","5",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"133",Auffahren auf fahrendes Fahrzeug - in Linkskurve,15 bis 18 Uhr,"Motorfahrrad, Pkw"
"46582",6094844246,"2021","9",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,6 bis 9 Uhr,"Fahrrad, Pkw"
"46855",6094846404,"2021","9",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"141",Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden,12 bis 15 Uhr,"Pkw, Pkw, Pkw"
"50389",6094871304,"2022","6",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,9 bis 12 Uhr,"Fahrrad, Pkw"
"51553",6094880593,"2022","8",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"123",Wechseln des Fahrstreifens mit und ohne Kollision - nach links,6 bis 9 Uhr,"Fahrrad, Pkw"
"52468",6094887089,"2022","10",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"312",Kollision beim Rechtsabbiegen - Rechtsabbieger mit Geradeausfahrendem,15 bis 18 Uhr,"Fahrrad, Pkw"
"53251",6094890680,"2022","12",Thu,"91501",Wien,"1",Ortsgebiet,"4",Dunkelheit,"31",Abkommen im Kreuzungsbereich - jede Kreuzung m�glich,18 bis 24 Uhr,Pkw
"53510",6094892479,"2023","1",Thu,"91501",Wien,"1",Ortsgebiet,"4",Dunkelheit,"332",Kollision beim Umkehren - gleiche Richtung - im Streckenbereich,18 bis 24 Uhr,"Pkw, Schienenfahrzeug"
"58553",6094925947,"2023","12",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"312",Kollision beim Rechtsabbiegen - Rechtsabbieger mit Geradeausfahrendem,15 bis 18 Uhr,"E-Scooter, Pkw"
"63926",6094962468,"2024","12",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"131",Auffahren auf fahrendes Fahrzeug - auf der Geraden,9 bis 12 Uhr,"Pkw, Pkw"
"5045",6094565248,"2013","11",Fri,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"141",Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden,12 bis 15 Uhr,"Pkw, Pkw"
"5112",6094565801,"2013","11",Sat,"91501",Wien,"1",Ortsgebiet,,,"511",Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,15 bis 18 Uhr,"Pkw, Schienenfahrzeug"
"23536",6094686514,"2017","1",Mon,"91501",Wien,"1",Ortsgebiet,,,"811","Fahrzeug biegt nicht ab - vor Querstra�e, Fu�g�nger von rechts",18 bis 24 Uhr,"Fussgaenger:in, Schienenfahrzeug"
"14322",6094619835,"2015","6",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,9 bis 12 Uhr,"Pkw, Sonstige"
"14773",6094631926,"2015","7",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,6 bis 9 Uhr,"Pkw, Sonstige"
"1383",6094546105,"2013","4",Fri,"91501",Wien,"1",Ortsgebiet,,,"331",Kollision beim Umkehren - gleiche Richtung - auf Kreuzungen,18 bis 24 Uhr,"Pkw, Pkw"
"7226",6094575042,"2014","4",Fri,"91501",Wien,"1",Ortsgebiet,,,"181",Kollision durch Einordnen - von rechts,18 bis 24 Uhr,"Motorrad, Pkw"
"14341",6094621336,"2015","6",Tue,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"711",Kollision mit haltenden oder parkenden Fahrzeugen - Fahrzeug h�lt oder parkt rechts,12 bis 15 Uhr,"Pkw, Sonstige"
"2012",6094546241,"2013","5",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"741",Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagent�re Vorbeifahren links,15 bis 18 Uhr,"Pkw, Sonstige"
