fid,REFUOID,JAHR,MONAT,WOCHENTAG,U_GEMNR2,U_GEMNAME,U_GEBIET,U_GEBIET_T,U_LICHT,U_LICHT_T,U_UNF_TYP,U_UNF_TYP_T,UHRZEIT,BETEILIGUNG
"56520",6094917206,"2023","8",Tue,"91401",Wien,"1",Ortsgebiet,"4",Dunkelheit,"411",Kollision beim Abbiegen - entgegeng. Richtung - beim Linksabbiegen,18 bis 24 Uhr,"Motorrad, Pkw"
"18236",6094647285,"2016","3",Tue,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"411",Kollision beim Abbiegen - entgegeng. Richtung - beim Linksabbiegen,12 bis 15 Uhr,"Pkw, Pkw"
"53284",6094890552,"2022","12",Sat,"91501",Wien,"1",Ortsgebiet,"4",Dunkelheit,"411",Kollision beim Abbiegen - entgegeng. Richtung - beim Linksabbiegen,18 bis 24 Uhr,"Pkw, Pkw"
"7824",6094583517,"2014","5",Fri,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"161",Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug,9 bis 12 Uhr,"Pkw, Pkw, Pkw"
"31752",6094733843,"2018","8",Wed,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"121",Wechseln des Fahrstreifens mit und ohne Kollision - nach rechts,6 bis 9 Uhr,"Lkw, Motorrad, Pkw"
"55357",6094905962,"2023","6",Mon,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"191",Sonstige Unf�lle im Richtungsverkehr,6 bis 9 Uhr,"Motorrad, Motorrad, Sonstige"
"43709",6094825794,"2021","2",Sat,"91501",Wien,"1",Ortsgebiet,"4",Dunkelheit,"622",Kollision beim Entgegenkommen - Linksabbieger m. entgegenkomm. Fahrzeug,18 bis 24 Uhr,"E-Bike, Pkw"
"48267",6094857740,"2022","1",Thu,"91501",Wien,"1",Ortsgebiet,"4",Dunkelheit,"622",Kollision beim Entgegenkommen - Linksabbieger m. entgegenkomm. Fahrzeug,18 bis 24 Uhr,"Pkw, Pkw"
"8282",6094604103,"2014","6",Wed,"91501",Wien,"1",Ortsgebiet,,,"511",Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,0 bis 6 Uhr,"Pkw, Pkw"
"55041",6094908487,"2023","5",Sun,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"622",Kollision beim Entgegenkommen - Linksabbieger m. entgegenkomm. Fahrzeug,9 bis 12 Uhr,"E-Scooter, Pkw"
"7586",6094573509,"2014","5",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"161",Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug,12 bis 15 Uhr,"Pkw, Pkw"
"5891",6094584573,"2014","1",Thu,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"322",Kollision beim Linksabbiegen - Linksabbieger mit Geradeausfahrendem,9 bis 12 Uhr,"Pkw, Schienenfahrzeug"
"50631",6094872145,"2022","6",Tue,"91501",Wien,"1",Ortsgebiet,"2",Tageslicht,"821",beim Rechtsabbiegen - Fg.: gleiche Ann�herungsrichtung,15 bis 18 Uhr,"Fussgaenger:in, Pkw"
