REFUOID,JAHR,MONAT,WOCHENTAG,U_GEMNR2,U_GEMNAME,U_GEBIET,U_GEBIET_T,U_LICHT,U_LICHT_T,U_UNF_TYP,U_UNF_TYP_T,UHRZEIT,BETEILIGUNG,geom,x,y
6097740181,2014,7,Mon,90601,Wien,1,Ortsgebiet,2,Tageslicht,622,Kollision beim Entgegenkommen - Linksabbieger m. entgegenkomm. Fahrzeug,6 bis 9 Uhr,"(Elektro-)Fahrrad, Bus","c(16.3568803775392, 48.2005900578854)",16.356880377539152,48.20059005788544
6097751803,2014,9,Mon,90601,Wien,1,Ortsgebiet,NA,,264,Frontal- oder Streifkollision beim Überholen - auf der Geraden,18 bis 24 Uhr,"(Elektro-)Fahrrad, (Elektro-)Fahrrad","c(16.3560676675374, 48.2003558578851)",16.35606766753736,48.20035585788508
6097751731,2014,10,Thu,90601,Wien,1,Ortsgebiet,2,Tageslicht,741,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren links,12 bis 15 Uhr,"(Elektro-)Fahrrad, Lkw","c(16.3535517575318, 48.1996246578839)",16.35355175753178,48.19962465788389
6097804321,2015,4,Thu,90601,Wien,1,Ortsgebiet,3,Dämmerung,742,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren rechts,18 bis 24 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3415676475052, 48.1962420478786)",16.34156764750523,48.1962420478786
6097788284,2015,6,Fri,90601,Wien,1,Ortsgebiet,2,Tageslicht,191,Sonstige Unfälle im Richtungsverkehr,6 bis 9 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3406449675032, 48.1959845878782)",16.340644967503184,48.19598458787817
6097803912,2015,7,Wed,90601,Wien,1,Ortsgebiet,2,Tageslicht,851,Fußgänger auf Fahrbahn - von rechts,15 bis 18 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.346433167516, 48.1972128678799)",16.346433167516018,48.19721286787993
6097787144,2015,8,Sat,90601,Wien,1,Ortsgebiet,2,Tageslicht,231,Streifkollision - auf der Geraden,12 bis 15 Uhr,"(Elektro-)Fahrrad, Sonstige","c(16.3585084775428, 48.2009243678859)",16.35850847754276,48.20092436788594
6097801161,2015,12,Tue,90601,Wien,1,Ortsgebiet,3,Dämmerung,851,Fußgänger auf Fahrbahn - von rechts,15 bis 18 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3594472475448, 48.2011531978863)",16.359447247544836,48.20115319788628
6097804923,2016,3,Fri,90701,Wien,1,Ortsgebiet,NA,,511,Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,15 bis 18 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3415354575052, 48.1962438278786)",16.341535457505156,48.1962438278786
6097804998,2016,3,Wed,90601,Wien,1,Ortsgebiet,2,Tageslicht,411,Kollision beim Abbiegen - entgegeng. Richtung - beim Linksabbiegen,9 bis 12 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3583153575423, 48.2008582178858)",16.35831535754234,48.200858217885816
6097801156,2016,3,Tue,90601,Wien,1,Ortsgebiet,2,Tageslicht,511,Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,12 bis 15 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3399261275016, 48.1959684978782)",16.339926127501595,48.19596849787825
6097814897,2016,4,Wed,90701,Wien,1,Ortsgebiet,2,Tageslicht,741,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren links,12 bis 15 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.340543037503, 48.1961097378785)",16.340543037502954,48.19610973787847
6097812909,2016,5,Tue,90601,Wien,1,Ortsgebiet,2,Tageslicht,742,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren rechts,9 bis 12 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3414952275051, 48.1962134378785)",16.34149522750507,48.19621343787855
6097828342,2016,6,Wed,90101,Wien,1,Ortsgebiet,2,Tageslicht,91,Sonstige Alleinunfälle,9 bis 12 Uhr,(Elektro-)Fahrrad,"c(16.361332837549, 48.2025476178889)",16.36133283754901,48.202547617888904
6097834358,2016,7,Mon,90701,Wien,1,Ortsgebiet,2,Tageslicht,852,Fußgänger auf Fahrbahn - von links,12 bis 15 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3452610475134, 48.1969554178796)",16.345261047513418,48.196955417879565
6097824856,2016,8,Tue,90601,Wien,1,Ortsgebiet,2,Tageslicht,741,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren links,9 bis 12 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3594794375449, 48.2011782278863)",16.359479437544916,48.20117822788632
6097817926,2016,8,Tue,90601,Wien,1,Ortsgebiet,2,Tageslicht,852,Fußgänger auf Fahrbahn - von links,15 bis 18 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3535463875318, 48.1996067778839)",16.353546387531768,48.199606777883865
6097825078,2016,8,Thu,90601,Wien,1,Ortsgebiet,2,Tageslicht,224,Abkommen links d. entgegenkomm. Fahrzeug - auf der Geraden (ohne Kollision),18 bis 24 Uhr,"(Elektro-)Fahrrad, (Elektro-)Fahrrad","c(16.350931237526, 48.1986538778823)",16.35093123752598,48.198653877882265
6097825079,2016,9,Wed,90601,Wien,1,Ortsgebiet,2,Tageslicht,141,Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden,15 bis 18 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3607534875477, 48.2019791278878)",16.36075348754773,48.201979127887796
6097828796,2016,9,Sat,90601,Wien,1,Ortsgebiet,2,Tageslicht,851,Fußgänger auf Fahrbahn - von rechts,18 bis 24 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3573631675402, 48.2006597778855)",16.357363167540218,48.20065977788554
6097827324,2016,9,Fri,90701,Wien,1,Ortsgebiet,2,Tageslicht,511,Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,12 bis 15 Uhr,"(Elektro-)Fahrrad, Motorrad","c(16.3416856575055, 48.1963385878788)",16.341685657505494,48.196338587878785
6097844255,2017,3,Tue,90701,Wien,1,Ortsgebiet,NA,,511,Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,18 bis 24 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3442578975112, 48.1967462278793)",16.344257897511195,48.19674622787927
6097858495,2017,3,Wed,90601,Wien,1,Ortsgebiet,2,Tageslicht,411,Kollision beim Abbiegen - entgegeng. Richtung - beim Linksabbiegen,9 bis 12 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3409668275039, 48.1960954378784)",16.340966827503898,48.196095437878384
6097847623,2017,3,Tue,90601,Wien,1,Ortsgebiet,2,Tageslicht,852,Fußgänger auf Fahrbahn - von links,18 bis 24 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3522347875289, 48.1991848578832)",16.352234787528865,48.199184857883196
6097843353,2017,3,Fri,90601,Wien,1,Ortsgebiet,NA,,891,Sonstige Fußgängerunfälle - Sonstige,18 bis 24 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.345539997514, 48.1970072678796)",16.345539997514035,48.197007267879634
6097851828,2017,4,Tue,90601,Wien,1,Ortsgebiet,2,Tageslicht,741,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren links,18 bis 24 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.347312937518, 48.1973862978802)",16.34731293751797,48.19738629788015
6097843615,2017,4,Sat,90601,Wien,1,Ortsgebiet,2,Tageslicht,742,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren rechts,15 bis 18 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3415488675052, 48.1962366778786)",16.341548867505193,48.19623667787858
6097858938,2017,6,Fri,90601,Wien,1,Ortsgebiet,2,Tageslicht,181,Kollision durch Einordnen - von rechts,15 bis 18 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3611692275487, 48.2024099678886)",16.36116922754865,48.202409967888634
6097856123,2017,6,Fri,90601,Wien,1,Ortsgebiet,NA,,212,Kollision durch Einordnen oder Zufahren - Einordnen von rechts,18 bis 24 Uhr,"(Elektro-)Fahrrad, Sonstige","c(16.344172067511, 48.1966997478792)",16.344172067511007,48.19669974787917
6097863005,2017,7,Thu,90601,Wien,1,Ortsgebiet,2,Tageslicht,891,Sonstige Fußgängerunfälle - Sonstige,18 bis 24 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3562285975377, 48.2003808878851)",16.356228597537708,48.200380887885125
6097868618,2017,7,Wed,90601,Wien,1,Ortsgebiet,2,Tageslicht,891,Sonstige Fußgängerunfälle - Sonstige,6 bis 9 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3606864275476, 48.2019666178878)",16.360686427547584,48.201966617887784
6097858790,2017,7,Fri,90601,Wien,1,Ortsgebiet,2,Tageslicht,112,Kollision beim Überholen - Überholen links,6 bis 9 Uhr,"(Elektro-)Fahrrad, (Elektro-)Fahrrad, Pkw","c(16.3426002975075, 48.1964387178789)",16.342600297507527,48.19643871787887
6097865956,2017,7,Mon,90601,Wien,1,Ortsgebiet,2,Tageslicht,851,Fußgänger auf Fahrbahn - von rechts,18 bis 24 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3493299575224, 48.1979905878811)",16.349329957522432,48.19799058788114
6097864235,2017,8,Mon,90601,Wien,1,Ortsgebiet,2,Tageslicht,241,Frontalkollision - auf der Geraden,18 bis 24 Uhr,"(Elektro-)Fahrrad, (Elektro-)Fahrrad","c(16.3607373875477, 48.2019898578878)",16.360737387547687,48.20198985788781
6097858973,2017,8,Fri,90601,Wien,1,Ortsgebiet,2,Tageslicht,851,Fußgänger auf Fahrbahn - von rechts,12 bis 15 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3520604475285, 48.1991419578831)",16.35206044752848,48.19914195788313
6097865627,2017,8,Tue,90601,Wien,1,Ortsgebiet,2,Tageslicht,111,Kollision beim Überholen - Überholen rechts,15 bis 18 Uhr,"(Elektro-)Fahrrad, (Elektro-)Fahrrad","c(16.3472002775177, 48.1973684178801)",16.347200277517707,48.19736841788014
6097857561,2017,8,Mon,90601,Wien,1,Ortsgebiet,2,Tageslicht,874,"Fußgänger geht auf Fahrbahn - gleiche Richtung, linke Fahrbahnseite",15 bis 18 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3523501275291, 48.1992384978833)",16.35235012752912,48.1992384978833
6097874347,2017,9,Thu,90701,Wien,1,Ortsgebiet,NA,,871,"Fußgänger geht auf Fahrbahn - gegen Richtung, rechte Fahrbahnseite",15 bis 18 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.350491347525, 48.1984607978819)",16.350491347525008,48.198460797881935
6097865298,2017,9,Wed,90601,Wien,1,Ortsgebiet,2,Tageslicht,511,Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,15 bis 18 Uhr,"(Elektro-)Fahrrad, (Elektro-)Fahrrad","c(16.3591843875443, 48.2010673878861)",16.359184387544254,48.20106738788612
6097864173,2017,10,Sat,90701,Wien,1,Ortsgebiet,2,Tageslicht,411,Kollision beim Abbiegen - entgegeng. Richtung - beim Linksabbiegen,15 bis 18 Uhr,"(Elektro-)Fahrrad, Pkw","c(16.3417580775057, 48.1963207078787)",16.34175807750566,48.196320707878726
6097872077,2017,10,Tue,90601,Wien,1,Ortsgebiet,NA,,891,Sonstige Fußgängerunfälle - Sonstige,18 bis 24 Uhr,"(Elektro-)Fahrrad, Fussgaenger:in","c(16.3498932175237, 48.1982212278816)",16.349893217523693,48.198221227881554
6097882659,2018,4,Sun,90701,Wien,1,Ortsgebiet,4,Dunkelheit,921,Tierunfälle - Tier auf der Fahrbahn,18 bis 24 Uhr,Fahrrad,"c(16.3479806475194, 48.1976036178805)",16.347980647519442,48.197603617880524
6097883733,2018,4,Tue,90601,Wien,1,Ortsgebiet,2,Tageslicht,742,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren rechts,12 bis 15 Uhr,"Fahrrad, Pkw","c(16.3412164175045, 48.1960911778783)",16.341216417504455,48.19609117787833
6097880862,2018,4,Wed,90701,Wien,1,Ortsgebiet,2,Tageslicht,811,"Fahrzeug biegt nicht ab - vor Querstraße, Fußgänger von rechts",15 bis 18 Uhr,"E-Bike, Fussgaenger:in","c(16.3501030975241, 48.1983264578817)",16.350103097524148,48.19832645788174
6097879009,2018,4,Mon,90701,Wien,1,Ortsgebiet,2,Tageslicht,511,Rechtwinkelige Kollisionen - Kollision auf der Kreuzung,12 bis 15 Uhr,"Fahrrad, Fahrrad","c(16.3459210775149, 48.1970651278797)",16.345921077514884,48.19706512787969
6097897003,2018,5,Wed,90601,Wien,1,Ortsgebiet,2,Tageslicht,851,Fußgänger auf Fahrbahn - von rechts,9 bis 12 Uhr,"Fahrrad, Fussgaenger:in","c(16.3507638075256, 48.1985854878822)",16.350763807525606,48.19858548788217
6097896991,2018,5,Fri,90601,Wien,1,Ortsgebiet,2,Tageslicht,742,Kollision mit haltenden oder parkenden Fahrzeugen - Offene Wagentüre Vorbeifahren rechts,18 bis 24 Uhr,"Fahrrad, Pkw","c(16.3413826975048, 48.1961259078784)",16.341382697504823,48.196125907878375
6097898379,2018,7,Tue,90701,Wien,1,Ortsgebiet,2,Tageslicht,871,"Fußgänger geht auf Fahrbahn - gegen Richtung, rechte Fahrbahnseite",18 bis 24 Uhr,"Fahrrad, Fussgaenger:in","c(16.3511481075265, 48.1988257178826)",16.35114810752646,48.19882571788261
6097898403,2018,7,Thu,90601,Wien,1,Ortsgebiet,2,Tageslicht,131,Auffahren auf fahrendes Fahrzeug - auf der Geraden,12 bis 15 Uhr,"Fahrrad, Pkw","c(16.3433836975093, 48.1965869278791)",16.343383697509253,48.19658692787905
6097898514,2018,7,Mon,90701,Wien,1,Ortsgebiet,2,Tageslicht,872,"Fußgänger geht auf Fahrbahn - gegen Richtung, linke Fahrbahnseite",15 bis 18 Uhr,"Fahrrad, Fussgaenger:in","c(16.3488688975214, 48.1978552778809)",16.34886889752141,48.19785527788093
6097898448,2018,7,Mon,90701,Wien,1,Ortsgebiet,2,Tageslicht,851,Fußgänger auf Fahrbahn - von rechts,12 bis 15 Uhr,"Fahrrad, Fussgaenger:in","c(16.3495461375229, 48.1980856878813)",16.349546137522914,48.19808568788128
6097890471,2018,7,Tue,90601,Wien,1,Ortsgebiet,2,Tageslicht,211,Kollision durch Einordnen oder Zufahren - Einordnen von links,9 bis 12 Uhr,"Fahrrad, Fahrrad","c(16.360421057547, 48.2016855478872)",16.360421057547004,48.20168554788722
6097901389,2018,8,Fri,90601,Wien,1,Ortsgebiet,2,Tageslicht,112,Kollision beim Überholen - Überholen links,9 bis 12 Uhr,"Fahrrad, Fahrrad","c(16.359502977545, 48.2011266778862)",16.359502977544963,48.201126677886215
