REFUOID	U_WGS84X	U_WGS84Y	JAHR	MONAT	WOCHENTAG	U_GEMNR2	U_GEMNAME	U_GEBIET	U_GEBIET_T	U_LICHT	U_LICHT_T	U_UNF_TYP	U_UNF_TYP_T	UHRZEIT	BETEILIGUNG
6097723599	16,38990909	48,2732234	2013	1	Mon	92101	Wien	1	Ortsgebiet	2	Tageslicht	622	Kollision beim Entgegenkommen - Linksabbieger m. entgegenkomm. Fahrzeug	9 bis 12 Uhr	Pkw, Schienenfahrzeug
6097724539	16,43354058	48,24289597	2013	1	Thu	92201	Wien	1	Ortsgebiet			622	Kollision beim Entgegenkommen - Linksabbieger m. entgegenkomm. Fahrzeug	18 bis 24 Uhr	Bus, Pkw
6097724544	16,35010242	48,16967395	2013	1	Mon	91001	Wien	1	Ortsgebiet			141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	18 bis 24 Uhr	Pkw, Pkw
6097699198	16,28747553	48,17606686	2013	1	Mon	91301	Wien	1	Ortsgebiet	2	Tageslicht	852	Fuﬂg‰nger auf Fahrbahn - von links	12 bis 15 Uhr	Fussgaenger:in, Pkw
6097724353	16,36767626	48,19797628	2013	1	Thu	90401	Wien	1	Ortsgebiet	2	Tageslicht	813	Fahrzeug biegt nicht ab - vor Querstraﬂe, Fuﬂg‰nger von links	12 bis 15 Uhr	Fussgaenger:in, Pkw
6097708363	16,40421331	48,18507532	2013	1	Fri	91101	Wien	1	Ortsgebiet	2	Tageslicht	052	Sturz vom oder im Fahrzeug - Sturz (Verletzung) im Fahrzeug	9 bis 12 Uhr	Schienenfahrzeug
6097709413	16,3416937	48,21729751	2013	1	Thu	91701	Wien	1	Ortsgebiet	2	Tageslicht	322	Kollision beim Linksabbiegen - Linksabbieger mit Geradeausfahrendem	18 bis 24 Uhr	Pkw, Schienenfahrzeug
6097724212	16,30761892	48,21781757	2013	1	Tue	91601	Wien	1	Ortsgebiet			823	beim Linksabbiegen - Fg.: gleiche Ann‰herungsrichtung	18 bis 24 Uhr	Fussgaenger:in, Fussgaenger:in, Pkw
6097707573	16,44035339	48,24805271	2013	1	Fri	92201	Wien	1	Ortsgebiet	2	Tageslicht	511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	12 bis 15 Uhr	Pkw, Pkw
6097699350	16,3834691	48,23352249	2013	1	Fri	92001	Wien	1	Ortsgebiet			161	Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug	6 bis 9 Uhr	Lkw, Lkw, Pkw
6097720412	16,38816833	48,21282044	2013	1	Fri	90301	Wien	1	Ortsgebiet	4	Dunkelheit	141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	6 bis 9 Uhr	Pkw, Pkw
6097708380	16,33580017	48,18502808	2013	1	Mon	91201	Wien	1	Ortsgebiet	2	Tageslicht	131	Auffahren auf fahrendes Fahrzeug - auf der Geraden	6 bis 9 Uhr	Pkw, Pkw
6097699363	16,36203289	48,23628273	2013	1	Mon	92001	Wien	1	Ortsgebiet	2	Tageslicht	131	Auffahren auf fahrendes Fahrzeug - auf der Geraden	12 bis 15 Uhr	Lkw, Pkw
6097699083	16,33798957	48,18222648	2013	1	Wed	91201	Wien	1	Ortsgebiet			141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	15 bis 18 Uhr	Pkw, Pkw
6097708721	16,36601597	48,20027362	2013	1	Thu	90101	Wien	1	Ortsgebiet	2	Tageslicht	121	Wechseln des Fahrstreifens mit und ohne Kollision - nach rechts	12 bis 15 Uhr	Pkw, Pkw
6097699085	16,39127165	48,2501049	2013	1	Mon	92101	Wien	1	Ortsgebiet			322	Kollision beim Linksabbiegen - Linksabbieger mit Geradeausfahrendem	0 bis 6 Uhr	(Elektro-)Fahrrad, Pkw
6097686272	16,37895226	48,18153973	2013	1	Fri	91001	Wien	1	Ortsgebiet			031	Abkommen im Kreuzungsbereich - jede Kreuzung mˆglich	0 bis 6 Uhr	Pkw
6097709937	16,36040606	48,19259488	2013	1	Sun	90501	Wien	1	Ortsgebiet	2	Tageslicht	091	Sonstige Alleinunf‰lle	12 bis 15 Uhr	Pkw
6097713286	16,25499666	48,20269777	2013	1	Tue	91401	Wien	1	Ortsgebiet	2	Tageslicht	811	Fahrzeug biegt nicht ab - vor Querstraﬂe, Fuﬂg‰nger von rechts	12 bis 15 Uhr	Fussgaenger:in, Pkw
6097686071	16,33706421	48,20691475	2013	1	Thu	91601	Wien	1	Ortsgebiet	2	Tageslicht	131	Auffahren auf fahrendes Fahrzeug - auf der Geraden	12 bis 15 Uhr	Pkw, Pkw, Pkw
6097724605	16,3861417	48,24096111	2013	1	Fri	92001	Wien	1	Ortsgebiet			131	Auffahren auf fahrendes Fahrzeug - auf der Geraden	15 bis 18 Uhr	Pkw, Pkw
6097724395	16,34203434	48,15773028	2013	1	Thu	91001	Wien	1	Ortsgebiet			141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	15 bis 18 Uhr	Pkw, Pkw
6097686387	16,22389376	48,12496932	2013	1	Sun	92301	Wien	0	Freiland			291	Sonstige Unf‰lle im Begegnungsverkehr	18 bis 24 Uhr	Pkw, Pkw
6097687106	16,35995954	48,16617487	2013	1	Thu	91001	Wien	1	Ortsgebiet	2	Tageslicht	141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	9 bis 12 Uhr	Pkw, Pkw
6097707572	16,44840002	48,231877	2013	1	Thu	92201	Wien	1	Ortsgebiet	2	Tageslicht	141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	12 bis 15 Uhr	Pkw, Pkw
6097703335	16,40471488	48,18467653	2013	1	Mon	91101	Wien	1	Ortsgebiet			123	Wechseln des Fahrstreifens mit und ohne Kollision - nach links	18 bis 24 Uhr	Pkw, Pkw
6097724579	16,39259398	48,15674976	2013	1	Mon	91001	Wien	1	Ortsgebiet			812	Fahrzeug biegt nicht ab - nach Querstraﬂe, Fuﬂg‰nger von rechts	6 bis 9 Uhr	Fussgaenger:in, Pkw
6097721365	16,32767916	48,17233388	2013	1	Wed	91201	Wien	1	Ortsgebiet			511	Rechtwinkelige Kollisionen - Kollision auf der Kreuzung	18 bis 24 Uhr	Pkw, Pkw
6097711448	16,31647825	48,20020211	2013	1	Sun	91501	Wien	1	Ortsgebiet	2	Tageslicht	612	Kollision beim Fahren in gleiche Zielrichtung - mit Linksabbieger	12 bis 15 Uhr	Pkw, Pkw
6097707607	16,34461194	48,18054178	2013	1	Wed	91201	Wien	1	Ortsgebiet	2	Tageslicht	691	Sonstige rechtwink. Kollisionen beim Abbiegen	12 bis 15 Uhr	(Elektro-)Fahrrad, Pkw
6097688289	16,38975888	48,18664006	2013	1	Tue	90301	Wien	1	Ortsgebiet	3	D‰mmerung	131	Auffahren auf fahrendes Fahrzeug - auf der Geraden	15 bis 18 Uhr	Pkw, Pkw, Pkw, Pkw
6097689368	16,34378314	48,18332633	2013	1	Thu	91201	Wien	1	Ortsgebiet			991	Sonstige Unf‰lle mit zwei oder mehreren Beteiligten	18 bis 24 Uhr	Pkw, Pkw
6097686604	16,26471698	48,15627023	2013	1	Thu	92301	Wien	1	Ortsgebiet	2	Tageslicht	141	Auffahren auf verkehrsb. stehendes fahrzeug - auf der Geraden	6 bis 9 Uhr	Pkw, Pkw
6097687210	16,31316841	48,21244688	2013	1	Mon	91601	Wien	1	Ortsgebiet	2	Tageslicht	812	Fahrzeug biegt nicht ab - nach Querstraﬂe, Fuﬂg‰nger von rechts	12 bis 15 Uhr	Fussgaenger:in, Schienenfahrzeug
6097708869	16,3151747	48,19036841	2013	1	Mon	91401	Wien	1	Ortsgebiet	2	Tageslicht	161	Auffahren im Kreuzungsbereich - auf stehendes Fahrzeug	9 bis 12 Uhr	Pkw, Pkw
